age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
40,blue-collar,single,unknown,no,3.1780538303479458,yes,no,unknown,5,may,5.220355825078324,1,-1,0,unknown,no
46,services,married,primary,no,5.187385805840755,yes,no,unknown,5,may,7.48324441607385,1,-1,0,unknown,no
53,technician,divorced,secondary,no,6.8966943316227125,yes,no,unknown,5,may,6.699500340161678,1,-1,0,unknown,no
57,blue-collar,married,primary,no,5.517452896464707,yes,no,unknown,5,may,5.099866427824199,1,-1,0,unknown,no
33,services,married,secondary,no,6.672032945461067,yes,no,unknown,5,may,5.968707559985366,1,-1,0,unknown,no
49,blue-collar,married,unknown,no,5.0369526024136295,yes,no,unknown,5,may,5.877735781779639,1,-1,0,unknown,no
51,management,married,tertiary,no,8.784162222270476,yes,no,unknown,5,may,4.51085950651685,1,-1,0,unknown,no
60,retired,married,tertiary,no,4.605170185988092,no,no,unknown,5,may,6.269096283706261,1,-1,0,unknown,no
59,management,divorced,tertiary,no,4.07753744390572,yes,no,unknown,5,may,5.60947179518496,1,-1,0,unknown,no
55,technician,married,secondary,no,7.094234845924755,yes,no,unknown,5,may,5.062595033026967,2,-1,0,unknown,no
35,blue-collar,single,secondary,no,9.411074701777263,yes,yes,unknown,5,may,5.176149732573829,1,-1,0,unknown,no
57,blue-collar,married,secondary,no,8.688622307043769,yes,yes,unknown,5,may,5.552959584921617,1,-1,0,unknown,no
31,services,married,secondary,no,3.2188758248682006,yes,yes,unknown,5,may,5.147494476813453,1,-1,0,unknown,no
54,management,married,secondary,no,5.641907070938114,yes,yes,unknown,5,may,5.0369526024136295,1,-1,0,unknown,no
55,blue-collar,married,primary,no,3.1354942159291497,yes,no,unknown,5,may,5.673323267171493,1,-1,0,unknown,no
43,technician,married,secondary,no,7.5688956634069955,yes,no,unknown,5,may,5.198497031265826,1,-1,0,unknown,no
53,technician,married,secondary,no,5.950642552587727,yes,no,unknown,5,may,5.170483995038151,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,6.366470447731438,no,yes,unknown,5,may,5.351858133476067,1,-1,0,unknown,no
55,services,divorced,secondary,no,4.51085950651685,no,no,unknown,5,may,5.855071922202427,1,-1,0,unknown,no
45,admin.,single,secondary,no,5.327876168789581,yes,no,unknown,5,may,5.262690188904886,1,-1,0,unknown,no
47,services,divorced,secondary,no,5.099866427824199,no,no,unknown,5,may,5.356586274672012,1,-1,0,unknown,no
42,technician,single,secondary,no,6.536691597591305,yes,no,unknown,5,may,2.995732273553991,1,-1,0,unknown,no
59,admin.,married,secondary,no,7.759187438507795,yes,no,unknown,5,may,6.948897222313312,1,-1,0,unknown,yes
46,self-employed,married,tertiary,no,4.919980925828125,yes,yes,unknown,5,may,5.5053315359323625,1,-1,0,unknown,no
51,blue-collar,married,primary,no,5.153291594497779,yes,no,unknown,5,may,6.270988431858299,2,-1,0,unknown,no
56,admin.,married,secondary,no,3.8066624897703196,no,no,unknown,5,may,7.2909747781429814,1,-1,0,unknown,yes
41,technician,married,secondary,no,7.146772179452637,yes,no,unknown,5,may,7.236339342754344,1,-1,0,unknown,yes
46,management,divorced,secondary,no,2.772588722239781,yes,yes,unknown,5,may,5.236441962829949,2,-1,0,unknown,no
57,retired,married,secondary,no,6.186208623900494,yes,no,unknown,5,may,5.19295685089021,2,-1,0,unknown,no
42,management,single,secondary,no,3.912023005428146,no,no,unknown,5,may,3.871201010907891,1,-1,0,unknown,no
30,technician,married,secondary,no,5.0238805208462765,yes,yes,unknown,5,may,5.3612921657094255,2,-1,0,unknown,no
60,admin.,married,secondary,no,5.66988092298052,yes,no,unknown,5,may,6.368187186350492,1,-1,0,unknown,no
60,blue-collar,married,unknown,no,3.9889840465642745,yes,no,unknown,5,may,5.3981627015177525,1,-1,0,unknown,no
36,management,married,tertiary,no,4.61512051684126,yes,yes,unknown,5,may,6.054439346269371,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,5.948034989180646,no,no,unknown,5,may,5.659482215759621,1,-1,0,unknown,no
60,retired,married,tertiary,no,4.394449154672439,yes,no,unknown,5,may,4.61512051684126,1,-1,0,unknown,no
46,management,married,tertiary,no,5.43372200355424,yes,no,unknown,5,may,5.2832037287379885,1,-1,0,unknown,no
53,blue-collar,married,primary,no,4.499809670330265,no,no,unknown,5,may,4.820281565605037,1,-1,0,unknown,no
52,blue-collar,married,primary,no,4.852030263919617,yes,no,unknown,5,may,5.43372200355424,1,-1,0,unknown,no
59,blue-collar,married,primary,no,5.187385805840755,yes,no,unknown,5,may,4.007333185232471,3,-1,0,unknown,no
44,blue-collar,married,secondary,no,3.9889840465642745,yes,no,unknown,5,may,5.2832037287379885,1,-1,0,unknown,no
47,technician,married,tertiary,no,5.017279836814924,yes,no,unknown,5,may,5.247024072160486,1,-1,0,unknown,no
34,admin.,married,secondary,no,4.110873864173311,no,yes,unknown,5,may,3.044522437723423,1,-1,0,unknown,no
59,retired,single,secondary,no,3.4011973816621555,yes,no,unknown,5,may,6.2422232654551655,1,-1,0,unknown,no
45,management,married,tertiary,no,6.259581464064923,yes,no,unknown,5,may,6.744059186311348,2,-1,0,unknown,no
29,services,divorced,secondary,no,3.4339872044851463,yes,no,unknown,5,may,5.267858159063328,1,-1,0,unknown,no
46,technician,divorced,secondary,no,4.3694478524670215,no,no,unknown,5,may,4.969813299576001,1,-1,0,unknown,no
36,blue-collar,married,primary,no,6.104793232414985,yes,no,unknown,5,may,5.655991810819852,1,-1,0,unknown,no
59,retired,divorced,primary,no,4.394449154672439,yes,no,unknown,5,may,4.672828834461906,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,4.969813299576001,yes,no,unknown,5,may,5.5093883366279774,2,-1,0,unknown,no
41,admin.,married,secondary,no,5.860786223465865,yes,no,unknown,5,may,6.249975242259483,1,-1,0,unknown,no
59,management,divorced,tertiary,no,5.568344503761097,no,no,unknown,5,may,5.181783550292085,1,-1,0,unknown,no
56,technician,divorced,unknown,no,4.02535169073515,yes,no,unknown,5,may,6.0844994130751715,1,-1,0,unknown,no
51,blue-collar,married,secondary,no,3.258096538021482,yes,no,unknown,5,may,4.3694478524670215,1,-1,0,unknown,no
34,admin.,married,unknown,no,1.0986122886681098,yes,no,unknown,5,may,4.787491742782046,3,-1,0,unknown,no
43,services,married,secondary,no,3.713572066704308,yes,yes,unknown,5,may,4.844187086458591,2,-1,0,unknown,no
52,technician,married,tertiary,no,1.9459101490553132,no,yes,unknown,5,may,5.1647859739235145,1,-1,0,unknown,no
33,technician,single,secondary,no,4.653960350157523,yes,no,unknown,5,may,5.568344503761097,2,-1,0,unknown,no
29,admin.,single,secondary,no,6.706862336602747,yes,yes,unknown,5,may,4.110873864173311,1,-1,0,unknown,no
55,services,married,secondary,no,7.814399633804487,yes,no,unknown,5,may,6.361302477572996,1,-1,0,unknown,yes
55,management,married,unknown,no,7.077498053569231,no,no,unknown,5,may,6.517671272912275,1,-1,0,unknown,no
32,admin.,single,secondary,no,5.37989735354046,yes,no,unknown,5,may,5.84354441703136,1,-1,0,unknown,no
38,technician,single,secondary,no,7.429520842786462,yes,no,unknown,5,may,5.220355825078324,1,-1,0,unknown,no
55,admin.,single,secondary,no,6.687108607866515,yes,yes,unknown,5,may,4.605170185988092,2,-1,0,unknown,no
23,blue-collar,married,secondary,no,4.543294782270004,yes,no,unknown,5,may,5.262690188904886,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,6.248042874508429,yes,no,unknown,5,may,6.269096283706261,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,5.579729825986222,yes,no,unknown,5,may,6.293419278846481,1,-1,0,unknown,no
53,housemaid,divorced,primary,no,6.853299093186078,yes,no,unknown,5,may,5.093750200806762,1,-1,0,unknown,no
34,self-employed,single,secondary,no,1.0986122886681098,yes,no,unknown,5,may,5.707110264748875,1,-1,0,unknown,no
57,unemployed,married,tertiary,no,3.7376696182833684,no,no,unknown,5,may,3.828641396489095,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,3.6109179126442243,yes,no,unknown,5,may,5.318119993844216,1,-1,0,unknown,no
59,blue-collar,married,secondary,no,4.04305126783455,yes,no,unknown,5,may,4.584967478670572,1,-1,0,unknown,no
33,services,married,secondary,no,3.091042453358316,yes,no,unknown,5,may,4.2626798770413155,1,-1,0,unknown,no
56,blue-collar,divorced,primary,no,2.0794415416798357,yes,no,unknown,5,may,5.056245805348308,2,-1,0,unknown,no
48,unemployed,married,secondary,no,5.680172609017068,yes,no,unknown,5,may,5.493061443340548,1,-1,0,unknown,no
43,services,married,primary,no,1.0986122886681098,yes,no,unknown,5,may,5.225746673713202,2,-1,0,unknown,no
54,blue-collar,married,primary,no,5.8522024797744745,yes,no,unknown,5,may,6.361302477572996,2,-1,0,unknown,no
39,management,married,secondary,no,2.8903717578961645,yes,no,unknown,5,may,4.442651256490317,1,-1,0,unknown,no
50,technician,married,primary,no,4.9344739331306915,no,no,unknown,5,may,4.736198448394496,2,-1,0,unknown,no
51,blue-collar,married,unknown,no,7.5406215286571525,yes,no,unknown,5,may,4.04305126783455,1,-1,0,unknown,no
60,retired,divorced,secondary,no,5.375278407684165,yes,no,unknown,5,may,5.472270673671475,1,-1,0,unknown,no
52,blue-collar,married,secondary,no,6.661854740545311,yes,no,unknown,5,may,4.532599493153256,3,-1,0,unknown,no
48,blue-collar,married,secondary,no,6.806829360392176,yes,no,unknown,5,may,4.852030263919617,2,-1,0,unknown,no
48,services,married,unknown,no,7.4413203897176174,yes,no,unknown,5,may,4.672828834461906,1,-1,0,unknown,no
39,technician,single,tertiary,no,3.8501476017100584,yes,no,unknown,5,may,5.198497031265826,1,-1,0,unknown,no
47,services,single,secondary,no,5.170483995038151,yes,no,unknown,5,may,5.713732805509369,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,7.110696122978827,yes,no,unknown,5,may,6.324358962381311,5,-1,0,unknown,no
45,technician,married,secondary,no,4.454347296253507,yes,no,unknown,5,may,5.598421958998375,1,-1,0,unknown,no
26,admin.,single,secondary,no,4.406719247264253,yes,no,unknown,5,may,5.429345628954441,1,-1,0,unknown,no
52,management,married,tertiary,no,5.602118820879701,yes,no,unknown,5,may,4.59511985013459,1,-1,0,unknown,no
54,technician,married,secondary,no,7.228388451573604,yes,no,unknown,5,may,5.480638923341991,1,-1,0,unknown,no
54,admin.,married,tertiary,no,5.214935757608986,no,no,unknown,5,may,6.511745329644728,2,-1,0,unknown,yes
44,services,married,secondary,no,7.213031659834869,yes,yes,unknown,5,may,5.521460917862246,1,-1,0,unknown,no
53,entrepreneur,married,unknown,no,2.9444389791664403,yes,no,unknown,5,may,5.529429087511423,1,-1,0,unknown,no
35,retired,single,primary,no,6.073044534100405,no,no,unknown,5,may,4.927253685157205,1,-1,0,unknown,no
60,admin.,divorced,secondary,no,4.5217885770490405,yes,no,unknown,5,may,4.867534450455582,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,7.048386408721883,yes,no,unknown,5,may,6.021023349349527,1,-1,0,unknown,no
48,unemployed,married,secondary,no,3.713572066704308,yes,no,unknown,5,may,5.187385805840755,2,-1,0,unknown,no
34,technician,married,secondary,no,3.9318256327243257,yes,no,unknown,5,may,2.9444389791664403,2,-1,0,unknown,no
54,services,married,secondary,no,5.365976015021851,yes,no,unknown,5,may,6.126869184114185,2,-1,0,unknown,no
51,management,married,secondary,no,7.057036981697891,yes,no,unknown,5,may,6.57507584059962,1,-1,0,unknown,no
31,services,married,tertiary,no,3.6109179126442243,yes,no,unknown,5,may,5.746203190540153,1,-1,0,unknown,no
35,technician,divorced,secondary,no,6.668228248417403,yes,no,unknown,5,may,6.52649485957079,2,-1,0,unknown,no
35,services,married,secondary,no,4.07753744390572,yes,no,unknown,5,may,6.981934677156389,1,-1,0,unknown,no
38,technician,married,secondary,no,5.53338948872752,yes,no,unknown,5,may,6.030685260261263,1,-1,0,unknown,no
36,admin.,married,tertiary,no,5.351858133476067,yes,no,unknown,5,may,4.983606621708336,2,-1,0,unknown,no
58,retired,married,primary,no,5.459585514144159,yes,no,unknown,5,may,5.117993812416755,1,-1,0,unknown,no
40,services,divorced,unknown,no,8.385716828627851,yes,no,unknown,5,may,5.752572638825633,1,-1,0,unknown,no
54,management,married,secondary,no,8.313852267398207,no,no,unknown,5,may,4.941642422609304,1,-1,0,unknown,no
34,blue-collar,single,secondary,no,3.970291913552122,yes,yes,unknown,5,may,5.846438775057725,1,-1,0,unknown,no
51,retired,married,secondary,no,7.6624678152002375,yes,no,unknown,5,may,5.147494476813453,1,-1,0,unknown,no
33,management,married,tertiary,no,5.932245187448011,yes,no,unknown,5,may,5.37989735354046,1,-1,0,unknown,no
55,management,married,tertiary,no,4.290459441148391,yes,no,unknown,5,may,4.955827057601261,2,-1,0,unknown,no
42,admin.,married,secondary,no,6.09807428216624,yes,no,unknown,5,may,4.204692619390966,1,-1,0,unknown,no
34,blue-collar,married,secondary,no,5.493061443340548,yes,no,unknown,5,may,5.673323267171493,1,-1,0,unknown,no
33,blue-collar,single,secondary,no,5.726847747587197,yes,no,unknown,5,may,5.733341276897746,2,-1,0,unknown,no
38,services,married,secondary,no,5.043425116919247,yes,no,unknown,5,may,5.5134287461649825,1,-1,0,unknown,no
50,technician,divorced,tertiary,no,5.153291594497779,no,yes,unknown,5,may,4.584967478670572,1,-1,0,unknown,no
43,management,married,tertiary,no,5.991464547107982,yes,no,unknown,5,may,5.545177444479562,1,-1,0,unknown,no
61,blue-collar,divorced,primary,no,7.2640301428995295,yes,no,unknown,5,may,4.406719247264253,2,-1,0,unknown,no
47,admin.,married,secondary,no,5.389071729816501,yes,no,unknown,5,may,6.3578422665081,1,-1,0,unknown,no
48,self-employed,married,tertiary,no,1.9459101490553132,yes,no,unknown,5,may,5.655991810819852,1,-1,0,unknown,no
44,blue-collar,married,secondary,no,6.354370040797351,yes,no,unknown,5,may,6.1675164908883415,1,-1,0,unknown,no
35,student,single,unknown,no,5.697093486505405,yes,no,unknown,5,may,6.415096959171596,2,-1,0,unknown,no
50,services,married,secondary,no,8.648045999835,yes,no,unknown,5,may,5.942799375126701,2,-1,0,unknown,no
41,management,married,tertiary,no,5.170483995038151,yes,yes,unknown,5,may,3.7376696182833684,1,-1,0,unknown,no
41,management,married,tertiary,no,6.248042874508429,yes,no,unknown,5,may,5.5254529391317835,1,-1,0,unknown,no
39,services,single,unknown,no,5.54907608489522,yes,no,unknown,5,may,6.0112671744041615,1,-1,0,unknown,no
42,retired,married,secondary,no,4.02535169073515,yes,no,unknown,5,may,5.3706380281276624,1,-1,0,unknown,no
53,retired,married,secondary,no,5.799092654460526,yes,no,unknown,5,may,5.375278407684165,2,-1,0,unknown,no
59,housemaid,divorced,primary,no,5.272999558563747,no,no,unknown,5,may,5.902633333401366,2,-1,0,unknown,no
36,services,married,secondary,no,5.707110264748875,yes,no,unknown,5,may,5.3471075307174685,1,-1,0,unknown,no
40,technician,married,tertiary,no,6.180016653652572,yes,no,unknown,5,may,5.123963979403259,1,-1,0,unknown,no
47,unknown,married,unknown,no,3.332204510175204,no,no,unknown,5,may,5.823045895483019,2,-1,0,unknown,no
53,unemployed,married,unknown,no,2.5649493574615367,no,no,unknown,5,may,6.016157159698354,3,-1,0,unknown,no
46,housemaid,married,primary,no,6.872128101338986,no,no,unknown,5,may,5.176149732573829,1,-1,0,unknown,no
39,management,married,tertiary,no,5.934894195619588,yes,yes,unknown,5,may,4.844187086458591,2,-1,0,unknown,no
40,unemployed,married,secondary,no,5.389071729816501,yes,no,unknown,5,may,5.877735781779639,1,-1,0,unknown,no
28,blue-collar,married,primary,no,5.780743515792329,yes,no,unknown,5,may,5.1647859739235145,1,-1,0,unknown,no
43,technician,divorced,unknown,no,5.3230099791384085,yes,no,unknown,5,may,7.257707677160043,1,-1,0,unknown,no
48,blue-collar,married,primary,no,5.627621113690637,yes,no,unknown,5,may,4.8283137373023015,2,-1,0,unknown,no
58,management,married,unknown,no,6.970730078143525,yes,no,unknown,5,may,5.3612921657094255,3,-1,0,unknown,no
33,management,single,tertiary,no,3.5263605246161616,yes,no,unknown,5,may,3.295836866004329,1,-1,0,unknown,no
36,blue-collar,married,unknown,no,6.940222469119639,no,no,unknown,5,may,5.472270673671475,2,-1,0,unknown,no
53,services,divorced,secondary,no,7.2909747781429814,yes,no,unknown,5,may,4.820281565605037,1,-1,0,unknown,no
31,services,married,secondary,no,5.961005339623274,yes,no,unknown,5,may,6.593044534142437,2,-1,0,unknown,no
57,entrepreneur,married,secondary,no,5.683579767338681,yes,no,unknown,5,may,6.61472560020376,2,-1,0,unknown,no
53,blue-collar,married,unknown,no,7.510430556378006,no,no,unknown,5,may,4.795790545596741,1,-1,0,unknown,no
55,blue-collar,married,primary,no,6.440946540632921,yes,no,unknown,5,may,5.5093883366279774,1,-1,0,unknown,no
45,blue-collar,married,primary,no,3.2188758248682006,yes,no,unknown,5,may,3.6888794541139363,1,-1,0,unknown,no
53,admin.,divorced,secondary,no,5.752572638825633,yes,no,unknown,5,may,5.198497031265826,2,-1,0,unknown,no
44,admin.,divorced,secondary,no,4.189654742026425,yes,no,unknown,5,may,5.327876168789581,1,-1,0,unknown,no
46,technician,married,secondary,no,5.855071922202427,yes,yes,unknown,5,may,4.844187086458591,1,-1,0,unknown,no
43,entrepreneur,married,unknown,no,4.605170185988092,yes,no,unknown,5,may,6.553933404025811,1,-1,0,unknown,no
43,technician,married,secondary,no,6.073044534100405,yes,no,unknown,5,may,4.762173934797756,1,-1,0,unknown,no
49,management,married,tertiary,no,8.082402253926244,yes,no,unknown,5,may,5.44673737166631,3,-1,0,unknown,no
42,management,married,unknown,no,5.616771097666572,no,no,unknown,5,may,6.0112671744041615,2,-1,0,unknown,no
40,management,married,tertiary,no,5.332718793265369,yes,no,unknown,5,may,3.6635616461296463,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,6.180016653652572,yes,no,unknown,5,may,5.641907070938114,1,-1,0,unknown,no
51,services,married,secondary,no,7.717796211013582,yes,no,unknown,5,may,6.570882962339584,2,-1,0,unknown,no
49,admin.,married,secondary,no,6.059123195581797,yes,no,unknown,5,may,3.912023005428146,1,-1,0,unknown,no
33,technician,divorced,secondary,no,4.941642422609304,yes,no,unknown,5,may,5.424950017481403,1,-1,0,unknown,no
50,management,single,tertiary,no,5.6937321388027,yes,no,unknown,5,may,4.77912349311153,1,-1,0,unknown,no
39,blue-collar,married,primary,no,5.631211781821365,yes,no,unknown,5,may,5.8888779583328805,1,-1,0,unknown,no
59,entrepreneur,divorced,secondary,no,6.803505257608338,yes,no,unknown,5,may,4.290459441148391,3,-1,0,unknown,no
30,technician,single,secondary,no,7.8528278122817445,yes,no,unknown,5,may,4.204692619390966,2,-1,0,unknown,no
36,services,married,secondary,no,4.962844630259907,yes,yes,unknown,5,may,5.857933154483459,1,-1,0,unknown,no
40,blue-collar,married,secondary,no,6.163314804034641,yes,no,unknown,5,may,5.805134968916488,2,-1,0,unknown,no
53,blue-collar,married,secondary,no,4.248495242049359,yes,no,unknown,5,may,6.415096959171596,2,-1,0,unknown,no
34,management,single,tertiary,no,5.762051382780177,yes,no,unknown,5,may,4.727387818712341,2,-1,0,unknown,no
37,technician,married,secondary,no,5.616771097666572,yes,no,unknown,5,may,4.882801922586371,1,-1,0,unknown,no
42,management,divorced,tertiary,no,6.60934924316738,yes,no,unknown,5,may,4.060443010546419,3,-1,0,unknown,no
41,entrepreneur,married,primary,no,5.4638318050256105,yes,no,unknown,5,may,5.017279836814924,1,-1,0,unknown,no
30,student,single,tertiary,no,3.2188758248682006,yes,no,unknown,5,may,4.48863636973214,2,-1,0,unknown,no
37,management,single,tertiary,no,6.396929655216146,yes,no,unknown,5,may,5.0238805208462765,1,-1,0,unknown,no
41,blue-collar,married,primary,no,5.209486152841421,yes,yes,unknown,5,may,4.700480365792417,2,-1,0,unknown,no
57,technician,married,secondary,no,6.982862751468942,yes,no,unknown,5,may,2.302585092994046,4,-1,0,unknown,no
56,entrepreneur,divorced,secondary,no,5.043425116919247,no,no,unknown,5,may,4.770684624465665,3,-1,0,unknown,no
37,admin.,married,secondary,no,5.247024072160486,yes,no,unknown,5,may,4.5217885770490405,2,-1,0,unknown,no
59,retired,married,secondary,no,5.765191102784844,yes,no,unknown,5,may,4.962844630259907,3,-1,0,unknown,no
49,services,married,secondary,no,3.8501476017100584,no,no,unknown,5,may,5.455321115357702,2,-1,0,unknown,no
38,services,single,secondary,no,6.345636360828596,yes,no,unknown,5,may,4.31748811353631,2,-1,0,unknown,no
36,self-employed,married,tertiary,no,2.9444389791664403,no,no,unknown,5,may,5.241747015059643,2,-1,0,unknown,no
50,blue-collar,married,primary,no,4.110873864173311,yes,no,unknown,5,may,6.431331081933479,3,-1,0,unknown,no
54,technician,married,tertiary,no,5.552959584921617,no,no,unknown,5,may,5.736572297479192,4,-1,0,unknown,no
58,blue-collar,married,primary,no,4.330733340286331,yes,no,unknown,5,may,5.049856007249537,2,-1,0,unknown,no
33,admin.,single,secondary,no,5.863631175598097,yes,no,unknown,5,may,5.41610040220442,2,-1,0,unknown,no
47,admin.,married,secondary,no,5.908082938168931,yes,no,unknown,5,may,4.8283137373023015,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,7.193685818395112,yes,no,unknown,5,may,5.655991810819852,2,-1,0,unknown,no
40,self-employed,married,secondary,no,6.5102583405231496,yes,no,unknown,5,may,5.099866427824199,2,-1,0,unknown,no
37,management,married,tertiary,no,4.060443010546419,yes,no,unknown,5,may,4.584967478670572,2,-1,0,unknown,no
54,technician,single,unknown,no,6.102558594613569,yes,no,unknown,5,may,6.60934924316738,2,-1,0,unknown,no
24,student,single,secondary,no,6.0473721790462776,yes,no,unknown,5,may,5.420534999272286,3,-1,0,unknown,no
34,technician,married,secondary,no,2.9444389791664403,yes,no,unknown,5,may,5.8916442118257715,4,-1,0,unknown,no
56,technician,divorced,primary,no,2.5649493574615367,yes,no,unknown,5,may,5.877735781779639,2,-1,0,unknown,no
31,blue-collar,single,secondary,no,1.0986122886681098,yes,no,unknown,5,may,5.298317366548036,2,-1,0,unknown,no
24,student,single,secondary,no,4.406719247264253,yes,no,unknown,5,may,5.318119993844216,2,-1,0,unknown,no
42,blue-collar,divorced,primary,no,3.332204510175204,yes,no,unknown,5,may,4.836281906951478,3,-1,0,unknown,no
57,technician,married,secondary,no,6.674561391814426,yes,no,unknown,5,may,4.174387269895637,2,-1,0,unknown,no
42,blue-collar,married,unknown,no,6.0112671744041615,yes,no,unknown,5,may,4.672828834461906,2,-1,0,unknown,no
51,admin.,married,secondary,no,6.274762021241939,yes,no,unknown,5,may,5.58724865840025,2,-1,0,unknown,no
57,retired,married,secondary,no,5.351858133476067,yes,no,unknown,5,may,5.5134287461649825,2,-1,0,unknown,no
36,services,single,secondary,no,4.127134385045092,yes,no,unknown,5,may,5.3706380281276624,2,-1,0,unknown,no
53,services,married,unknown,no,5.54907608489522,yes,no,unknown,5,may,5.342334251964811,2,-1,0,unknown,no
50,technician,married,secondary,no,7.1180162044653335,yes,no,unknown,5,may,5.3230099791384085,2,-1,0,unknown,no
54,management,married,tertiary,no,5.746203190540153,yes,no,unknown,5,may,4.418840607796598,2,-1,0,unknown,no
55,blue-collar,married,secondary,no,4.48863636973214,yes,no,unknown,5,may,4.663439094112067,3,-1,0,unknown,no
44,blue-collar,married,secondary,no,4.859812404361672,yes,yes,unknown,5,may,5.241747015059643,2,-1,0,unknown,no
